zone_id,zone_name,school_type,shade_score,lat,lon,area_m2
332,Munger Building 2,General,0.5357846110464369,37.42291583296265,-122.1663392112223,1.2364700000019195e-07
333,Munger Building 3,General,0.4614393488629756,37.42358172965259,-122.16634553544088,1.2251150000027687e-07
334,Munger Building 4,General,0.47160726405069164,37.42314866787234,-122.1669568916164,2.799929550005896e-07
335,Munger Building 5,General,0.46460026420217526,37.422872723639955,-122.16780994324664,1.2349650000050785e-07
336,Muwekmah-tah-ruk,General,0.464072880231897,37.42343169569493,-122.16901564186234,3.492000000037227e-08
337,Narnia,General,0.5455460584011007,37.41994743418768,-122.17492513812074,1.670495000002755e-07
338,Owen House,Residential,0.6003657859380023,37.42283138202656,-122.16839401307959,1.6589175000005e-08
339,Roble Hall,Residential,0.5774173829087325,37.424261888546,-122.17459013291887,2.934298500014176e-07
340,Rogers,General,0.46978341606510016,37.42343338129627,-122.1718974551879,1.938649999934891e-08
341,School of Law,Law,0.5091615875116833,37.424058132128465,-122.16776312625255,5.318745400019977e-07
342,Attneave,General,0.5073471770780565,37.42294762827946,-122.17181675905604,2.8199499999633053e-08
343,Sigma Phi Epsilon,General,0.47732018699100154,37.41994928969652,-122.17096415341831,1.241345000002563e-07
344,Sigma Chi,General,0.5033851649237973,37.422838718379985,-122.16958831948999,4.1440000000027826e-08
345,Sigma Nu,General,0.4998504734397374,37.422284,-122.1683965,3.764800000300718e-08
346,Stanford Center for Research and...,General,0.5215850098052217,37.42461951643252,-122.16695917982607,2.3163400000168331e-07
347,Stanford Station Post Office,Transit,0.34850936508676433,37.42429486248683,-122.16889663940682,1.3669294000113514e-07
348,Storey,General,0.46453040097720444,37.423225499999994,-122.169729,4.286599999911907e-08
349,Sweet Hall,General,0.49746126146264713,37.42520491591658,-122.16668787051624,9.694427000221904e-08
350,Xanadu,General,0.5225859915714236,37.422222027561574,-122.1692988923416,4.939849999855163e-08
351,General Zone 351,General,0.5103136258580088,37.427420020566466,-122.16606003727135,2.7776035000555886e-08
352,General Zone 352,General,0.5456489841188322,37.427508902187284,-122.16647618593785,3.434330499957683e-08
353,Thornton Center,General,0.5258693631618945,37.42556075,-122.17372449999999,7.360342000074869e-08
354,General Zone 354,General,0.476293442708143,37.42441253445302,-122.17266873321694,2.4054499999339373e-08
355,General Zone 355,General,0.467056874740043,37.422090743842745,-122.17352134299917,6.638499999590089e-09
356,General Zone 356,General,0.5242419278206316,37.42057173814733,-122.17037438584974,4.112999999595501e-09
357,General Zone 357,General,0.46265113105416217,37.43146255,-122.16557099999999,2.539507999986325e-08
358,Black Community Service Center,General,0.5185775581273463,37.42456950672402,-122.1726707793805,1.3483999999186531e-08
359,Lake House,Residential,0.6240230241424958,37.42188528729561,-122.17361118562539,2.196873000063743e-08
360,Acacia,General,0.517547417787588,37.43030808436893,-122.17728220557467,2.848599999874769e-08
361,Birch,General,0.4988169926206522,37.430548,-122.17786400000001,3.347000000055667e-08
362,Blume Earthquake Engineering Center,Engineering,0.38432882184423534,37.42602767067887,-122.17116615545237,9.820049999988792e-08
363,Cedar Hall,Residential,0.5758252890491516,37.42917783789433,-122.17647708835,7.909450000155623e-08
364,Durand Building,General,0.5145616789315935,37.42685945413438,-122.17330036842385,3.243576100023203e-07
365,Encina Commons,General,0.5541464808776525,37.42679386234108,-122.16488577942303,3.473161500027327e-07
366,Forsythe Data Center,General,0.49861026378007745,37.428596640717736,-122.17751834343875,2.0010400000029302e-07
367,Gates Computer Science,Engineering,0.41611905638239144,37.43012563029684,-122.17344007507253,3.131751150019472e-07
368,Gilbert Hall,General,0.5505350641956064,37.43003894396516,-122.17249679577489,2.1198725499816258e-07
369,Hagey Laboratory for Pediatric R...,Medicine,0.4795791134789297,37.43206767562649,-122.17845699879577,6.886902999895818e-08
370,Hewlett Teaching Center,General,0.46693613008751655,37.42901550619058,-122.17288604756202,1.5674899999615868e-07
371,Polya Hall,Residential,0.5400778001377426,37.42898059874202,-122.17753921850472,1.386095000009794e-07
372,Via Ortega Garage,Transit,0.2868221825651549,37.428071349538676,-122.17682512920125,4.320872499960014e-07
373,Lorry Lokey Labs,General,0.46944429607559285,37.43197006798653,-122.1728063549344,2.6051058499880934e-07
374,Roth Way Garage,Transit,0.3533006773416356,37.43287809844436,-122.1724511936889,8.434967000044485e-07
375,Stauffer I,General,0.4671188648460229,37.43119790321298,-122.17215719468881,8.400283999904103e-08
376,Stauffer II,General,0.49189756302937615,37.430866565970575,-122.17227272484051,8.218612999829686e-08
377,Keck Science,Engineering,0.40448753109694546,37.43170161561477,-122.17171910020262,2.1742315000093323e-07
378,Bank of America,General,0.4623271935735826,37.43962984769763,-122.1705218447611,4.211250000012079e-08
379,General Zone 379,General,0.5414468482588936,37.4386334390994,-122.17068350848217,2.577875000021513e-07
380,General Zone 380,General,0.48818547747734,37.42736795517999,-122.16515216647744,8.757830000211995e-08
381,"Mechanical Engineering, TSG",Engineering,0.33181648276216563,37.425856330224434,-122.1703569124652,8.958149999829022e-08
382,"Mechanical Engineering, TSG",Engineering,0.389673716536415,37.42606520761822,-122.17044738745099,8.142749999844076e-08
383,Physics and Astrophysics,General,0.5228942846779884,37.42822572157709,-122.1726725787224,1.7817820999923422e-07
384,Moore Material Research,General,0.5477472013527053,37.427821454932705,-122.1728293196414,1.7139654000093495e-07
385,Cypress Hall,Residential,0.6035071043803886,37.428664230223625,-122.17664747038758,1.2667249999978276e-07
386,Spruce Hall,Residential,0.6103480930384848,37.42864805802713,-122.17696404646578,6.119550000060789e-08
387,Center for Turbulence Research,General,0.48820345725713066,37.42568249673579,-122.16976517956394,1.254512999920169e-08
